TLA;SPACE;SPEED;GEAR;RPM;THROTTLE;BRAKE;DRS;TIME_0;TIME
HAM;0;274;7;11117;100;0;12;0;49889.5
HAM;3.65678;274.6;7;11159;100;0;12;0.0479927;49889.5
HAM;7.32155;275.2;7;11202;100;0;12;0.0959854;49889.6
HAM;10.9943;275.8;7;11245;100;0;12;0.143978;49889.6
HAM;14.6751;276.4;7;11288;100;0;12;0.191971;49889.7
HAM;18.3639;277;7;11331;100;0;12;0.239964;49889.7
HAM;22.0606;277.6;7;11344;100;0;12;0.287956;49889.8
HAM;25.7654;278.2;7;11358;100;0;12;0.335949;49889.8
HAM;29.4782;278.8;7;11372;100;0;12;0.383942;49889.8
HAM;33.199;279.4;7;11386;100;0;12;0.431934;49889.9
HAM;36.9277;280;7;11400;100;0;12;0.479927;49889.9
HAM;41.2857;280.4;7;11422;100;0;12;0.535919;49890
HAM;45.65;280.8;7;11444;100;0;12;0.591911;49890.1
HAM;50.0205;281.2;7;11466;100;0;12;0.647902;49890.1
HAM;54.3971;281.6;7;11488;100;0;12;0.703894;49890.2
HAM;58.7801;282;7;11510;100;0;12;0.759886;49890.2
HAM;62.5421;282.4;7;11523;100;0;12;0.807878;49890.3
HAM;66.3096;282.8;7;11536;100;0;12;0.855871;49890.3
HAM;70.0823;283.2;7;11550;100;0;12;0.903864;49890.4
HAM;73.8604;283.6;7;11563;100;0;12;0.951857;49890.4
HAM;77.6439;284;7;11577;100;0;12;0.999849;49890.5
HAM;81.43;284;7;11544;98;19;11;1.04784;49890.5
HAM;85.2161;284;7;11511;96;40;10;1.09584;49890.6
HAM;89.0022;284;7;11478;94;59;9;1.14383;49890.6
HAM;92.7883;284;7;11445;92;80;8;1.19182;49890.7
HAM;96.5745;284;7;11413;91;100;8;1.23981;49890.7
HAM;100.306;275.8;7;11136;72;100;8;1.28781;49890.8
HAM;103.928;267.6;7;10859;54;100;8;1.3358;49890.8
HAM;107.441;259.4;7;10582;36;100;8;1.38379;49890.8
HAM;110.844;251.2;7;10305;18;100;8;1.43179;49890.9
HAM;114.138;243;7;10028;0;100;8;1.47978;49890.9
HAM;117.339;237.2;7;9712;0;100;8;1.52777;49891
HAM;120.463;231.4;7;9396;0;100;8;1.57576;49891
HAM;123.509;225.6;7;9080;0;100;8;1.62376;49891.1
HAM;126.478;219.8;7;8764;0;100;8;1.67175;49891.1
HAM;129.369;214;7;8449;0;100;8;1.71974;49891.2
HAM;132.173;206.6;7;8444;0;100;8;1.76773;49891.2
HAM;134.878;199.2;7;8439;0;100;8;1.81573;49891.3
HAM;137.484;191.8;7;8434;0;100;8;1.86372;49891.3
HAM;139.992;184.4;7;8429;0;100;8;1.91171;49891.4
HAM;142.401;177;7;8425;0;100;8;1.95971;49891.4
HAM;144.731;172.6;7;8378;0;100;8;2.0077;49891.5
HAM;147.003;168.2;7;8332;0;100;8;2.05569;49891.5
HAM;149.216;163.8;7;8285;0;100;8;2.10369;49891.6
HAM;151.37;159.4;7;8239;0;100;8;2.15168;49891.6
HAM;153.466;155;6;8193;0;100;8;2.19967;49891.7
HAM;155.511;151.8;6;8286;0;100;8;2.24766;49891.7
HAM;157.513;148.6;6;8380;0;100;8;2.29566;49891.8
HAM;159.473;145.4;6;8474;0;100;8;2.34365;49891.8
HAM;161.39;142.2;6;8568;0;100;8;2.39164;49891.9
HAM;163.265;139;5;8662;0;100;8;2.43964;49891.9
HAM;164.801;136.2;5;8668;0;100;8;2.47983;49891.9
HAM;166.306;133.4;5;8675;0;100;8;2.52002;49892
HAM;167.78;130.6;5;8681;0;100;8;2.56022;49892
HAM;169.222;127.8;5;8688;0;100;8;2.60041;49892.1
HAM;170.633;125;5;8695;0;100;8;2.64061;49892.1
HAM;172.292;123.8;5;8582;1;80;8;2.6886;49892.2
HAM;173.934;122.6;5;8469;2;60;8;2.73659;49892.2
HAM;175.561;121.4;5;8356;3;40;8;2.78458;49892.2
HAM;177.171;120.2;5;8243;4;20;8;2.83258;49892.3
HAM;178.765;119;3;8130;5;0;8;2.88057;49892.3
HAM;180.348;118.4;3;8105;6;0;8;2.92856;49892.4
HAM;181.922;117.8;3;8081;7;0;8;2.97655;49892.4
HAM;183.489;117.2;3;8057;8;0;8;3.02455;49892.5
HAM;185.047;116.6;3;8033;9;0;8;3.07254;49892.5
HAM;186.598;116;3;8009;10;0;8;3.12053;49892.6
HAM;188.396;115.2;3;8105;15;0;8;3.17653;49892.6
HAM;190.181;114.4;3;8202;21;0;8;3.23252;49892.7
HAM;191.954;113.6;3;8298;26;0;8;3.28851;49892.8
HAM;193.715;112.8;3;8395;32;0;8;3.3445;49892.8
HAM;195.463;112;3;8492;38;0;8;3.40049;49892.9
HAM;196.955;111.8;3;8481;40;0;8;3.44849;49892.9
HAM;198.444;111.6;3;8470;42;0;8;3.49648;49893
HAM;199.93;111.4;3;8459;45;0;8;3.54447;49893
HAM;201.414;111.2;3;8448;47;0;8;3.59246;49893.1
HAM;202.895;111;3;8437;50;0;8;3.64046;49893.1
HAM;204.383;112.2;3;8534;54;0;8;3.68845;49893.2
HAM;205.887;113.4;3;8631;58;0;8;3.73644;49893.2
HAM;207.407;114.6;3;8729;63;0;8;3.78444;49893.2
HAM;208.942;115.8;3;8826;67;0;8;3.83243;49893.3
HAM;210.494;117;3;8924;72;0;8;3.88042;49893.3
HAM;212.331;119.2;3;9011;75;0;8;3.93641;49893.4
HAM;214.202;121.4;3;9098;79;0;8;3.9924;49893.5
HAM;216.107;123.6;3;9186;83;0;8;4.04839;49893.5
HAM;218.047;125.8;3;9273;87;0;8;4.10439;49893.6
HAM;220.02;128;3;9361;91;0;8;4.16038;49893.6
HAM;221.74;130;3;9513;92;0;8;4.20837;49893.7
HAM;223.487;132;3;9666;94;0;8;4.25636;49893.7
HAM;225.26;134;3;9818;96;0;8;4.30436;49893.8
HAM;227.059;136;3;9971;98;0;8;4.35235;49893.8
HAM;228.886;138;3;10124;100;0;8;4.40034;49893.9
HAM;230.742;140.4;3;10315;100;0;8;4.44834;49893.9
HAM;232.629;142.8;3;10506;100;0;8;4.49633;49894
HAM;234.549;145.2;3;10698;100;0;8;4.54432;49894
HAM;236.501;147.6;3;10889;100;0;8;4.59232;49894.1
HAM;238.484;150;3;11081;100;0;8;4.64031;49894.1
HAM;240.503;152.8;3;11233;100;0;8;4.6883;49894.2
HAM;242.558;155.6;3;11385;100;0;8;4.73629;49894.2
HAM;244.651;158.4;3;11538;100;0;8;4.78429;49894.2
HAM;246.782;161.2;3;11690;100;0;8;4.83228;49894.3
HAM;248.949;164;3;11843;100;0;8;4.88027;49894.3
HAM;251.149;166;3;11666;100;0;8;4.92826;49894.4
HAM;253.375;168;3;11490;100;0;8;4.97626;49894.4
HAM;255.628;170;3;11313;100;0;8;5.02425;49894.5
HAM;257.908;172;3;11137;100;0;8;5.07224;49894.5
HAM;260.214;174;3;10961;100;0;8;5.12024;49894.6
HAM;262.551;176.6;3;11055;100;0;8;5.16823;49894.6
HAM;264.923;179.2;3;11150;100;0;8;5.21622;49894.7
HAM;267.329;181.8;3;11244;100;0;8;5.26421;49894.7
HAM;269.77;184.4;3;11339;100;0;8;5.31221;49894.8
HAM;272.246;187;4;11434;100;0;8;5.3602;49894.8
HAM;274.748;188.4;4;11402;100;0;8;5.40819;49894.9
HAM;277.269;189.8;4;11370;100;0;8;5.45618;49894.9
HAM;279.809;191.2;4;11338;100;0;8;5.50418;49895
HAM;282.367;192.6;4;11306;100;0;8;5.55217;49895
HAM;284.944;194;4;11275;100;0;8;5.60016;49895.1
HAM;287.541;195.6;4;11227;100;0;8;5.64816;49895.1
HAM;290.159;197.2;4;11179;100;0;8;5.69615;49895.2
HAM;292.799;198.8;4;11132;100;0;8;5.74414;49895.2
HAM;295.46;200.4;4;11084;100;0;8;5.79213;49895.3
HAM;298.142;202;5;11037;100;0;8;5.84013;49895.3
HAM;300.846;203.6;5;11119;100;0;8;5.88812;49895.4
HAM;303.571;205.2;5;11202;100;0;8;5.93611;49895.4
HAM;306.317;206.8;5;11284;100;0;8;5.98411;49895.4
HAM;309.085;208.4;5;11367;100;0;8;6.0321;49895.5
HAM;311.873;210;5;11450;100;0;8;6.08009;49895.5
HAM;314.681;211.2;5;11520;100;0;8;6.12809;49895.6
HAM;317.505;212.4;5;11590;100;0;8;6.17608;49895.6
HAM;320.344;213.6;5;11660;100;0;8;6.22407;49895.7
HAM;323.2;214.8;5;11730;100;0;8;6.27206;49895.7
HAM;326.071;216;5;11801;100;0;8;6.32006;49895.8
HAM;328.96;217.296;5;11862;100;0;8;6.36805;49895.8
HAM;331.865;218.592;5;11923;100;0;8;6.41604;49895.9
HAM;334.788;219.888;5;11985;100;0;8;6.46404;49895.9
HAM;337.728;221.184;5;12046;100;0;8;6.51203;49896
HAM;340.685;222.48;5;12108;100;0;8;6.56002;49896
HAM;343.659;223.668;5;11883;100;0;8;6.60801;49896.1
HAM;346.649;224.855;5;11658;100;0;8;6.65601;49896.1
HAM;349.654;226.042;5;11433;100;0;8;6.704;49896.2
HAM;352.676;227.23;5;11208;100;0;8;6.75199;49896.2
HAM;355.713;228.417;5;10983;100;0;8;6.79998;49896.3
HAM;358.765;229.531;5;11004;100;0;8;6.84798;49896.3
HAM;361.833;230.645;5;11025;100;0;8;6.89597;49896.4
HAM;364.915;231.759;5;11047;100;0;8;6.94396;49896.4
HAM;368.012;232.873;5;11068;100;0;8;6.99195;49896.5
HAM;371.124;233.987;6;11090;100;0;8;7.03995;49896.5
HAM;374.25;234.989;6;11126;100;0;8;7.08794;49896.6
HAM;377.389;235.992;6;11162;100;0;8;7.13593;49896.6
HAM;380.542;236.995;6;11199;100;0;8;7.18393;49896.6
HAM;383.708;237.997;6;11235;100;0;8;7.23192;49896.7
HAM;386.888;239;6;11272;100;0;8;7.27991;49896.7
HAM;390.08;239.891;6;11313;100;0;8;7.32791;49896.8
HAM;393.284;240.782;6;11355;100;0;8;7.3759;49896.8
HAM;396.5;241.672;6;11396;100;0;8;7.42389;49896.9
HAM;399.728;242.563;6;11438;100;0;8;7.47189;49896.9
HAM;402.967;243.454;6;11480;100;0;8;7.51988;49897
HAM;406.218;244.252;6;11523;100;0;8;7.56787;49897
HAM;409.48;245.049;6;11566;100;0;8;7.61586;49897.1
HAM;412.752;245.847;6;11609;100;0;8;7.66386;49897.1
HAM;416.035;246.645;6;11652;100;0;8;7.71185;49897.2
HAM;419.328;247.442;6;11695;100;0;8;7.75984;49897.2
HAM;422.632;248.171;6;11726;100;0;8;7.80783;49897.3
HAM;425.945;248.9;6;11757;100;0;8;7.85583;49897.3
HAM;429.268;249.628;6;11789;100;0;8;7.90382;49897.4
HAM;432.601;250.357;6;11820;100;0;8;7.95181;49897.4
HAM;435.943;251.086;6;11852;100;0;8;7.99981;49897.5
HAM;439.295;251.765;6;11787;100;0;8;8.0478;49897.5
HAM;442.656;252.444;6;11722;100;0;8;8.09579;49897.6
HAM;446.026;253.123;6;11658;100;0;8;8.14378;49897.6
HAM;449.405;253.802;6;11593;100;0;8;8.19178;49897.7
HAM;452.793;254.481;6;11529;100;0;8;8.23977;49897.7
HAM;456.19;255.119;6;11338;100;0;8;8.28776;49897.8
HAM;459.595;255.757;6;11147;100;0;8;8.33576;49897.8
HAM;463.009;256.395;6;10956;100;0;8;8.38375;49897.8
HAM;466.431;257.033;6;10765;100;0;8;8.43174;49897.9
HAM;469.862;257.671;7;10575;100;0;8;8.47974;49897.9
HAM;473.301;258.263;7;10583;100;0;8;8.52773;49898
HAM;476.748;258.856;7;10592;100;0;8;8.57572;49898
HAM;480.203;259.448;7;10600;100;0;8;8.62371;49898.1
HAM;483.666;260.041;7;10609;100;0;8;8.67171;49898.1
HAM;487.136;260.633;7;10618;100;0;8;8.7197;49898.2
HAM;490.614;261.165;7;10648;100;0;8;8.76769;49898.2
HAM;494.1;261.696;7;10679;100;0;8;8.81569;49898.3
HAM;497.592;262.228;7;10709;100;0;8;8.86368;49898.3
HAM;501.091;262.76;7;10740;100;0;8;8.91167;49898.4
HAM;504.598;263.291;7;10771;100;0;8;8.95966;49898.4
HAM;507.54;263.675;7;10780;100;0;8;8.99986;49898.5
HAM;510.486;264.058;7;10790;100;0;8;9.04005;49898.5
HAM;513.436;264.442;7;10799;100;0;8;9.08025;49898.5
HAM;516.391;264.825;7;10809;100;0;8;9.12044;49898.6
HAM;519.35;265.209;7;10819;100;0;8;9.16063;49898.6
HAM;522.888;265.578;7;10847;100;0;8;9.20863;49898.7
HAM;526.431;265.948;7;10876;100;0;8;9.25662;49898.7
HAM;529.978;266.317;7;10904;100;0;8;9.30461;49898.8
HAM;533.531;266.686;7;10933;100;0;8;9.3526;49898.8
HAM;537.089;267.056;7;10962;100;0;8;9.4006;49898.9
HAM;540.651;267.328;7;10963;100;0;8;9.44859;49898.9
HAM;544.217;267.601;7;10964;100;0;8;9.49658;49899
HAM;547.786;267.873;7;10965;100;0;8;9.54457;49899
HAM;551.359;268.146;7;10966;100;0;8;9.59257;49899.1
HAM;554.935;268.418;7;10967;100;0;8;9.64056;49899.1
HAM;558.515;268.625;7;10975;100;0;8;9.68855;49899.2
HAM;562.098;268.833;7;10983;100;0;8;9.73655;49899.2
HAM;565.683;269.04;7;10991;100;0;8;9.78454;49899.2
HAM;569.271;269.247;7;10999;100;0;8;9.83253;49899.3
HAM;572.862;269.454;7;11008;100;0;8;9.88052;49899.3
HAM;576.456;269.682;7;11016;100;0;8;9.92852;49899.4
HAM;580.052;269.91;7;11024;100;0;8;9.97651;49899.4
HAM;583.652;270.138;7;11032;100;0;8;10.0245;49899.5
HAM;587.255;270.366;7;11040;100;0;8;10.0725;49899.5
HAM;590.861;270.594;7;11048;100;0;8;10.1205;49899.6
HAM;594.472;271.075;7;11061;100;0;8;10.1685;49899.6
HAM;598.089;271.556;7;11074;100;0;8;10.2165;49899.7
HAM;601.712;272.038;7;11087;100;0;8;10.2645;49899.7
HAM;605.342;272.519;7;11100;100;0;8;10.3125;49899.8
HAM;608.978;273;7;11113;100;0;8;10.3605;49899.8
HAM;612.616;272.8;7;11123;98;20;8;10.4084;49899.9
HAM;616.252;272.6;7;11133;96;40;8;10.4564;49899.9
HAM;619.884;272.4;7;11143;94;60;8;10.5044;49900
HAM;623.514;272.2;7;11153;92;80;8;10.5524;49900
HAM;627.142;272;7;11164;91;100;8;10.6004;49900.1
HAM;630.753;269.8;7;11097;78;100;8;10.6484;49900.1
HAM;634.335;267.6;7;11030;66;100;8;10.6964;49900.2
HAM;637.888;265.4;7;10964;53;100;8;10.7444;49900.2
HAM;641.412;263.2;7;10897;41;100;8;10.7924;49900.3
HAM;644.906;261;7;10831;29;100;8;10.8404;49900.3
HAM;648.352;256;7;10628;23;100;8;10.8884;49900.4
HAM;651.732;251;7;10425;17;100;8;10.9364;49900.4
HAM;655.044;246;7;10223;11;100;8;10.9844;49900.4
HAM;658.291;241;7;10020;5;100;8;11.0324;49900.5
HAM;661.47;236;7;9818;0;100;8;11.0803;49900.5
HAM;664.598;233.2;7;9871;0;100;8;11.1283;49900.6
HAM;667.688;230.4;7;9925;0;100;8;11.1763;49900.6
HAM;670.741;227.6;7;9979;0;100;8;11.2243;49900.7
HAM;673.756;224.8;7;10033;0;100;8;11.2723;49900.7
HAM;676.734;222;7;10087;0;100;8;11.3203;49900.8
HAM;679.67;218.4;7;10200;0;100;8;11.3683;49900.8
HAM;682.558;214.8;7;10313;0;100;8;11.4163;49900.9
HAM;685.397;211.2;7;10426;0;100;8;11.4643;49900.9
HAM;688.189;207.6;7;10538;0;100;8;11.5123;49901
HAM;690.932;204;6;10652;0;100;8;11.5603;49901
HAM;693.64;202.2;6;10573;0;100;8;11.6083;49901.1
HAM;696.324;200.4;6;10495;0;100;8;11.6563;49901.1
HAM;698.983;198.6;6;10417;0;100;8;11.7043;49901.2
HAM;701.619;196.8;6;10339;0;100;8;11.7522;49901.2
HAM;704.23;195;5;10261;0;100;8;11.8002;49901.3
HAM;706.822;193.8;5;10206;0;100;8;11.8482;49901.3
HAM;709.398;192.6;5;10152;0;100;8;11.8962;49901.4
HAM;711.957;191.4;5;10097;0;100;8;11.9442;49901.4
HAM;714.501;190.2;5;10043;0;100;8;11.9922;49901.5
HAM;717.028;189;5;9989;0;100;8;12.0402;49901.5
HAM;719.535;187;5;9918;0;80;8;12.0882;49901.6
HAM;722.014;185;5;9848;0;60;8;12.1362;49901.6
HAM;724.467;183;5;9778;0;40;8;12.1842;49901.6
HAM;726.894;181;5;9708;0;20;8;12.2322;49901.7
HAM;729.293;179;5;9638;0;0;8;12.2802;49901.7
HAM;731.676;178.4;5;9558;0;0;8;12.3282;49901.8
HAM;734.05;177.8;5;9478;0;0;8;12.3762;49901.8
HAM;736.416;177.2;5;9398;0;0;8;12.4241;49901.9
HAM;738.774;176.6;5;9318;0;0;8;12.4721;49901.9
HAM;741.125;176;5;9238;0;0;8;12.5201;49902
HAM;743.458;174;5;9147;7;0;8;12.5681;49902
HAM;745.764;172;5;9056;14;0;8;12.6161;49902.1
HAM;748.044;170;5;8965;22;0;8;12.6641;49902.1
HAM;750.297;168;5;8874;29;0;8;12.7121;49902.2
HAM;752.523;166;5;8784;37;0;8;12.7601;49902.2
HAM;755.102;165.6;5;8797;38;0;8;12.8161;49902.3
HAM;757.674;165.2;5;8810;40;0;8;12.8721;49902.3
HAM;760.241;164.8;5;8824;41;0;8;12.9281;49902.4
HAM;762.801;164.4;5;8837;43;0;8;12.9841;49902.4
HAM;765.355;164;5;8851;45;0;8;13.0401;49902.5
HAM;767.54;163.8;5;8895;50;0;8;13.088;49902.6
HAM;769.722;163.6;5;8940;55;0;8;13.136;49902.6
HAM;771.902;163.4;5;8985;61;0;8;13.184;49902.6
HAM;774.079;163.2;5;9030;66;0;8;13.232;49902.7
HAM;776.253;163;5;9075;72;0;8;13.28;49902.7
HAM;778.429;163.4;5;9093;73;0;8;13.328;49902.8
HAM;780.61;163.8;5;9112;75;0;8;13.376;49902.8
HAM;782.796;164.2;5;9130;76;0;8;13.424;49902.9
HAM;784.988;164.6;5;9149;78;0;8;13.472;49902.9
HAM;787.185;165;5;9168;80;0;8;13.52;49903
HAM;789.396;166.8;5;9240;83;0;8;13.568;49903
HAM;791.632;168.6;5;9312;86;0;8;13.616;49903.1
HAM;793.892;170.4;5;9384;89;0;8;13.664;49903.1
HAM;796.175;172.2;5;9456;92;0;8;13.712;49903.2
HAM;798.483;174;5;9529;96;0;8;13.7599;49903.2
HAM;800.809;175;5;9607;94;0;8;13.8079;49903.3
HAM;803.149;176;5;9686;93;0;8;13.8559;49903.3
HAM;805.502;177;5;9765;91;0;8;13.9039;49903.4
HAM;807.868;178;5;9844;90;0;8;13.9519;49903.4
HAM;810.248;179;5;9923;89;0;8;13.9999;49903.5
HAM;812.64;179.8;5;9842;82;0;8;14.0479;49903.5
HAM;815.042;180.6;5;9762;75;0;8;14.0959;49903.6
HAM;817.455;181.4;5;9682;68;0;8;14.1439;49903.6
HAM;819.879;182.2;5;9602;61;0;8;14.1919;49903.7
HAM;822.313;183;5;9522;55;0;8;14.2399;49903.7
HAM;824.732;180;5;9526;44;20;8;14.2879;49903.8
HAM;827.112;177;5;9530;33;40;8;14.3359;49903.8
HAM;829.452;174;5;9535;22;60;8;14.3839;49903.8
HAM;831.751;171;5;9539;11;80;8;14.4318;49903.9
HAM;834.011;168;5;9544;0;100;8;14.4798;49903.9
HAM;836.236;165.8;5;9600;0;100;8;14.5278;49904
HAM;838.432;163.6;5;9656;0;100;8;14.5758;49904
HAM;840.598;161.4;5;9712;0;100;8;14.6238;49904.1
HAM;842.735;159.2;5;9768;0;100;8;14.6718;49904.1
HAM;844.843;157;4;9824;0;100;8;14.7198;49904.2
HAM;846.924;155.2;4;9638;0;80;8;14.7678;49904.2
HAM;848.981;153.4;4;9452;0;60;8;14.8158;49904.3
HAM;851.014;151.6;4;9266;0;40;8;14.8638;49904.3
HAM;853.023;149.8;4;9080;0;20;8;14.9118;49904.4
HAM;855.008;148;4;8894;0;0;8;14.9598;49904.4
HAM;856.977;147.4;4;8875;0;0;8;15.0078;49904.5
HAM;858.938;146.8;4;8856;0;0;8;15.0558;49904.5
HAM;860.891;146.2;4;8837;0;0;8;15.1037;49904.6
HAM;862.836;145.6;4;8818;0;0;8;15.1517;49904.6
HAM;864.773;145;4;8800;0;0;8;15.1997;49904.7
HAM;866.7;144;4;8823;10;0;8;15.2477;49904.7
HAM;868.613;143;4;8847;21;0;8;15.2957;49904.8
HAM;870.512;142;4;8871;31;0;8;15.3437;49904.8
HAM;872.399;141;4;8895;42;0;8;15.3917;49904.9
HAM;874.272;140;4;8919;53;0;8;15.4397;49904.9
HAM;876.149;140.4;4;8920;56;0;8;15.4879;49905
HAM;878.031;140.8;4;8921;60;0;8;15.5361;49905
HAM;879.918;141.2;4;8922;63;0;8;15.5843;49905
HAM;881.811;141.6;4;8923;67;0;8;15.6325;49905.1
HAM;883.709;142;4;8925;71;0;8;15.6807;49905.1
HAM;885.606;142.6;4;9050;72;0;8;15.7287;49905.2
HAM;887.512;143.2;4;9175;73;0;8;15.7766;49905.2
HAM;889.425;143.8;4;9300;74;0;8;15.8246;49905.3
HAM;891.346;144.4;4;9425;75;0;8;15.8726;49905.3
HAM;893.275;145;4;9550;76;0;8;15.9206;49905.4
HAM;895.217;146.4;4;9716;77;0;8;15.9686;49905.4
HAM;897.178;147.8;4;9882;79;0;8;16.0166;49905.5
HAM;899.158;149.2;4;10048;81;0;8;16.0646;49905.5
HAM;901.156;150.6;4;10214;83;0;8;16.1126;49905.6
HAM;903.173;152;4;10381;85;0;8;16.1606;49905.6
HAM;905.208;153.2;4;10366;86;0;8;16.2086;49905.7
HAM;907.258;154.4;4;10351;87;0;8;16.2566;49905.7
HAM;909.324;155.6;4;10337;88;0;8;16.3046;49905.8
HAM;911.407;156.8;4;10322;89;0;8;16.3526;49905.8
HAM;913.505;158;4;10308;91;0;8;16.4006;49905.9
HAM;915.625;160;4;10383;92;0;8;16.4485;49905.9
HAM;917.771;162;4;10459;94;0;8;16.4965;49906
HAM;919.944;164;4;10534;96;0;8;16.5445;49906
HAM;922.144;166;4;10610;98;0;8;16.5925;49906.1
HAM;924.37;168;4;10686;100;0;8;16.6405;49906.1
HAM;926.627;170.6;4;10835;100;0;8;16.6885;49906.2
HAM;928.919;173.2;4;10985;100;0;8;16.7365;49906.2
HAM;931.245;175.8;4;11134;100;0;8;16.7845;49906.2
HAM;933.606;178.4;4;11284;100;0;8;16.8325;49906.3
HAM;936.002;181;4;11434;100;0;8;16.8805;49906.3
HAM;938.428;183;4;11529;100;0;8;16.9285;49906.4
HAM;940.881;185;4;11625;100;0;8;16.9765;49906.4
HAM;943.361;187;4;11721;100;0;8;17.0245;49906.5
HAM;945.867;189;4;11817;100;0;8;17.0725;49906.5
HAM;948.4;191;4;11913;100;0;8;17.1204;49906.6
HAM;950.955;192.4;4;11727;100;0;8;17.1684;49906.6
HAM;953.53;193.8;4;11541;100;0;8;17.2164;49906.7
HAM;956.123;195.2;4;11355;100;0;8;17.2644;49906.7
HAM;958.734;196.6;4;11169;100;0;8;17.3124;49906.8
HAM;961.364;198;5;10984;100;0;8;17.3604;49906.8
HAM;964.017;200;5;11024;100;0;8;17.4084;49906.9
HAM;966.697;202;5;11064;100;0;8;17.4564;49906.9
HAM;969.403;204;5;11104;100;0;8;17.5044;49907
HAM;972.136;206;5;11144;100;0;8;17.5524;49907
HAM;974.896;208;5;11184;100;0;8;17.6004;49907.1
HAM;977.679;209.6;5;11302;100;0;8;17.6484;49907.1
HAM;980.484;211.2;5;11420;100;0;8;17.6964;49907.2
HAM;983.31;212.8;5;11539;100;0;8;17.7444;49907.2
HAM;986.158;214.4;5;11657;100;0;8;17.7923;49907.3
HAM;989.027;216;5;11776;100;0;8;17.8403;49907.3
HAM;991.916;217.4;5;11818;100;0;8;17.8883;49907.4
HAM;994.824;218.8;5;11860;100;0;8;17.9363;49907.4
HAM;997.75;220.2;5;11902;100;0;8;17.9843;49907.4
HAM;1000.69;221.6;5;11944;100;0;8;18.0323;49907.5
HAM;1003.66;223;5;11987;100;0;8;18.0803;49907.5
HAM;1006.64;223.8;5;12042;100;20;8;18.1283;49907.6
HAM;1009.63;224.6;5;12097;100;40;8;18.1763;49907.6
HAM;1012.62;225.4;5;12152;100;60;8;18.2243;49907.7
HAM;1015.64;226.2;5;12207;100;80;8;18.2723;49907.7
HAM;1018.66;227;5;12262;100;100;8;18.3203;49907.8
HAM;1021.64;220.2;5;11933;80;100;8;18.3683;49907.8
HAM;1024.53;213.4;5;11604;60;100;8;18.4163;49907.9
HAM;1027.33;206.6;5;11275;40;100;8;18.4642;49907.9
HAM;1030.04;199.8;5;10946;20;100;8;18.5122;49908
HAM;1032.65;193;5;10617;0;100;8;18.5602;49908
HAM;1035.2;188.8;5;10348;0;100;8;18.6082;49908.1
HAM;1037.69;184.6;5;10079;0;100;8;18.6562;49908.1
HAM;1040.12;180.4;5;9810;0;100;8;18.7042;49908.2
HAM;1042.5;176.2;5;9541;0;100;8;18.7522;49908.2
HAM;1044.82;172;5;9273;0;100;8;18.8002;49908.3
HAM;1047.1;169.8;5;9223;0;100;8;18.8482;49908.3
HAM;1049.35;167.6;5;9173;0;100;8;18.8962;49908.4
HAM;1051.57;165.4;5;9123;0;100;8;18.9442;49908.4
HAM;1053.76;163.2;5;9073;0;100;8;18.9922;49908.5
HAM;1055.92;161;4;9023;0;100;8;19.0402;49908.5
HAM;1058.01;153.2;4;9199;0;100;8;19.0882;49908.6
HAM;1060;145.4;4;9376;0;100;8;19.1361;49908.6
HAM;1061.89;137.6;4;9552;0;100;8;19.1841;49908.6
HAM;1063.67;129.8;4;9729;0;100;8;19.2321;49908.7
HAM;1065.35;122;4;9906;0;100;8;19.2801;49908.7
HAM;1066.96;119.8;4;9715;0;100;8;19.3281;49908.8
HAM;1068.54;117.6;4;9524;0;100;8;19.3761;49908.8
HAM;1070.1;115.4;4;9334;0;100;8;19.4241;49908.9
HAM;1071.62;113.2;4;9143;0;100;8;19.4721;49908.9
HAM;1073.11;111;2;8953;0;100;8;19.5201;49909
HAM;1074.58;108.4;2;8764;0;100;8;19.5681;49909
HAM;1076;105.8;2;8575;0;100;8;19.6161;49909.1
HAM;1077.4;103.2;2;8387;0;100;8;19.6641;49909.1
HAM;1078.76;100.6;2;8198;0;100;8;19.7121;49909.2
HAM;1080.08;98;2;8010;0;100;8;19.7601;49909.2
HAM;1081.38;97;2;7931;0;100;8;19.808;49909.3
HAM;1082.67;96;2;7853;0;100;8;19.856;49909.3
HAM;1083.94;95;2;7774;0;100;8;19.904;49909.4
HAM;1085.2;94;2;7696;0;100;8;19.952;49909.4
HAM;1086.45;93;2;7618;0;100;8;20;49909.5
HAM;1087.68;92.2;2;7559;0;80;8;20.048;49909.5
HAM;1088.9;91.4;2;7501;0;60;8;20.096;49909.6
HAM;1090.12;90.6;2;7443;0;40;8;20.144;49909.6
HAM;1091.32;89.8;2;7385;0;20;8;20.192;49909.7
HAM;1092.51;89;2;7327;0;0;8;20.24;49909.7
HAM;1093.7;88.6;2;7281;0;0;8;20.288;49909.8
HAM;1094.87;88.2;2;7236;0;0;8;20.336;49909.8
HAM;1096.05;87.8;2;7192;0;0;8;20.384;49909.8
HAM;1097.21;87.4;2;7147;0;0;8;20.432;49909.9
HAM;1098.38;87;2;7102;0;0;8;20.4799;49909.9
HAM;1099.54;86.8;2;7073;0;0;8;20.5279;49910
HAM;1100.69;86.6;2;7045;0;0;8;20.5759;49910
HAM;1101.84;86.4;2;7016;0;0;8;20.6239;49910.1
HAM;1103;86.2;2;6988;0;0;8;20.6719;49910.1
HAM;1104.14;86;2;6960;0;0;8;20.7199;49910.2
